name,level,price,time,price_buff,time_buff,vege,meat,flour,egg,fish,seafood
油焖茄子,0,10,30,0.1,0,5,0,0,0,0,0
蚝油生菜,0,32,100,0.1,0,14,0,0,0,0,0
盐焗鸡,0,56,150,0.1,0.1,0,20,0,0,0,0
椰子竹丝鸡,0,82,300,0.1,0.1,10,10,5,0,0,0
番茄炒蛋,1,174,450,0.1,0.1,10,0,0,30,0,0
酸菜鱼,1,228,675,0.1,0.1,50,0,0,0,10,0
手撕包菜,1,288,900,0.1,0.1,100,0,0,0,0,0
鱼头豆腐脑,2,414,1125,0.1,0.1,5,0,5,0,40,0
八宝饭,2,568,1350,0.1,0.1,0,10,10,80,5,0
牡丹燕菜,2,690,1575,0.1,0.1,20,10,0,0,3,20
金瓜酿芋泥,0,61,200,0.1,0.1,25,0,0,0,0,0
猪肚包鸡,0,107,350,0.1,0.1,20,10,5,0,0,0
菠萝咕噜肉,1,166,500,0.1,0.1,10,10,0,20,0,0
咖喱鱼旦,1,219,725,0.1,0.1,0,0,0,30,5,0
潮汕砂锅粥,1,329,950,0.1,0.1,0,0,10,0,0,10
湛江白切鸡,2,433,1225,0.1,0.1,0,120,0,0,0,0
蜜汁叉烧,2,542,1450,0.1,0.1,0,150,0,0,0,0
红烧乳鸽,2,707,1675,0.1,0.1,0,200,0,0,0,0
糯米鸡,3,869,1880,0.1,0.1,0,50,150,0,0,0
芙蓉虾,3,1052,2105,0.1,0.1,0,0,80,100,0,5
上汤焗龙虾,3,1116,2330,0.1,0.1,100,10,50,0,0,17
香菇板栗,0,38,130,0.1,0,16,0,0,0,0,0
酱骨架,0,39,160,0.1,0.1,0,12,0,0,0,0
地三鲜,0,57,260,0.1,0.1,20,0,0,0,0,0
锅包肉,0,155,410,0.1,0.1,0,50,0,0,0,0
酸菜白肉血肠,1,166,560,0.1,0.1,30,10,10,0,0,0
白扒猴头,1,221,785,0.1,0.1,20,5,5,20,0,0
小鸡炖蘑菇,1,370,1010,0.1,0.1,120,10,0,0,0,0
东北拉皮,2,460,1345,0.1,0.1,10,10,80,0,0,0
鸳鸯戏飞龙,2,683,1550,0.1,0.1,25,30,0,80,0,0
杨梅丸子,0,57,230,0.1,0.1,15,5,0,0,0,0
徽州毛豆腐,0,95,380,0.1,0.1,0,0,20,0,0,0
腌笃鲜,1,179,530,0.1,0.1,30,30,0,0,0,0
臭鳜鱼,1,200,755,0.1,0.1,0,0,0,0,20,0
中和汤,1,287,980,0.1,0.1,0,10,20,0,0,5
问政山笋,2,468,1285,0.1,0.1,150,10,0,0,0,0
黄山炖鸽,2,530,1510,0.1,0.1,20,100,20,0,0,0
沙地马蹄鳖,2,699,1735,0.1,0.1,30,10,0,0,0,20
凤炖牡丹,3,869,1940,0.1,0.1,100,100,50,0,0,0
太平湖鱼头煲,3,884,2165,0.1,0.1,100,0,0,0,60,0
